"RNR"	"Age_in_Days"	"Mol_Sex"	"Filename"
"ID18_352"	58	"Male"	"ID18_352_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_178"	92	"Female"	"ID18_178_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_358"	57	"Male"	"ID18_358_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_359"	57	"Male"	"ID18_359_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_392"	105	"Male"	"ID18_392_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_393"	56	"Female"	"ID18_393_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_316"	91	"Male"	"ID18_316_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_394"	60	"Female"	"ID18_394_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_318"	69	"Female"	"ID18_318_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_319"	60	"Male"	"ID18_319_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_320"	84	"Female"	"ID18_320_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_291"	90	"Female"	"ID18_291_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_292"	62	"Male"	"ID18_292_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_293"	62	"Male"	"ID18_293_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_183"	80	"Male"	"ID18_183_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_184"	73	"Female"	"ID18_184_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_395"	81	"Male"	"ID18_395_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_396"	112	"Female"	"ID18_396_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_297"	56	"Female"	"ID18_297_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_190"	96	"Male"	"ID18_190_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_194"	96	"Female"	"ID18_194_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_333"	60	"Male"	"ID18_333_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_397"	54	"Female"	"ID18_397_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_339"	69	"Female"	"ID18_339_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_196"	75	"Female"	"ID18_196_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_201"	78	"Male"	"ID18_201_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_202"	89	"Male"	"ID18_202_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_361"	90	"Male"	"ID18_361_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_213"	76	"Male"	"ID18_213_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_217"	85	"Female"	"ID18_217_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_398"	57	"Male"	"ID18_398_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_399"	85	"Male"	"ID18_399_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_400"	57	"Female"	"ID18_400_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_401"	49	"Male"	"ID18_401_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_402"	79	"Male"	"ID18_402_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_403"	79	"Male"	"ID18_403_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_404"	64	"Male"	"ID18_404_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_405"	57	"Female"	"ID18_405_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_9"	1424	"Male"	"ID18_9_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_369"	387	"Male"	"ID18_369_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_27"	725	"Male"	"ID18_27_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_31"	375	"Female"	"ID18_31_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_255"	376	"Female"	"ID18_255_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_234"	726	"Male"	"ID18_234_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_254"	376	"Female"	"ID18_254_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_36"	726	"Male"	"ID18_36_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_29"	725	"Male"	"ID18_29_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_259"	730	"Female"	"ID18_259_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_28"	377	"Female"	"ID18_28_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_32"	376	"Female"	"ID18_32_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_266"	725	"Female"	"ID18_266_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_271"	725	"Male"	"ID18_271_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_272"	725	"Female"	"ID18_272_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_301"	377	"Female"	"ID18_301_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_287"	1472	"Male"	"ID18_287_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_289"	727	"Female"	"ID18_289_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_13"	1094	"Female"	"ID18_13_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_16"	1470	"Male"	"ID18_16_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_37"	375	"Female"	"ID18_37_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_309"	725	"Female"	"ID18_309_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_307"	725	"Male"	"ID18_307_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_308"	1094	"Female"	"ID18_308_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_5"	1820	"Female"	"ID18_5_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_34"	1098	"Male"	"ID18_34_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_12"	1474	"Female"	"ID18_12_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_327"	726	"Female"	"ID18_327_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_15"	1472	"Female"	"ID18_15_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_33"	377	"Female"	"ID18_33_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_347"	2200	"Male"	"ID18_347_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_350"	730	"Female"	"ID18_350_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_348"	380	"Female"	"ID18_348_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_23"	380	"Female"	"ID18_23_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_24"	730	"Male"	"ID18_24_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_372"	374	"Female"	"ID18_372_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_370"	723	"Male"	"ID18_370_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_371"	724	"Female"	"ID18_371_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_328"	565	"Female"	"ID18_328_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
"ID18_356"	410	"Male"	"ID18_356_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt"
